AT4T24P2 - Pris - 16_7_215_100, movement approx 25k ms
d=152032, ir=81298
time=55829, red=119013, ir=80566
time=55839, red=123565, ir=81889
time=55849, red=116190, ir=80925
time=55859, red=102249, ir=78311
time=55869, red=103449, ir=78551
time=55879, red=105127, ir=75788
time=55889, red=95851, ir=75457
time=55899, red=100483, ir=77632
time=55909, red=104359, ir=79581
time=55919, red=89866, ir=66437
time=55929, red=91023, ir=64680
time=55939, red=91831, ir=65472
time=55949, red=119285, ir=71880
time=55959, red=105271, ir=67803
time=55969, red=120790, ir=67312
