AT4T32P3 - Lakota - 5_5_411_50
 red=58418, ir=65811
time=15615, red=54176, ir=59409
time=15635, red=54178, ir=59437
time=15655, red=54182, ir=59443
time=15675, red=54183, ir=59448
time=15695, red=54172, ir=59440
time=15715, red=54198, ir=59466
time=15736, red=54185, ir=59460
time=15756, red=54171, ir=59464
time=15776, red=54164, ir=59479
time=15796, red=54182, ir=59465
time=15816, red=54187, ir=59480
time=15836, red=54189, ir=59503
time=15856, red=54177, ir=59513
time=15876, red=54174, ir=59529
time=15896, red=54179, ir=59528
time=15916, red=54185, ir=59555
time=15936, red=54196, ir=59566
time=15956, red=54185, ir=59582
time=15976, red=54184, ir=59576
time=15996, red=54183, ir=59583
HR=96, SP=-1
time=16021, red=54185, ir=59594
time=16036, red=54175, ir=59593
time=16056, red=54166, ir=59588
time=16076, red=54178, ir=59591
time=16096, red=54168, ir=59573
time=16116, red=54160, ir=59555
time=16136, red=54144, ir=59539
time=16156, red=54133, ir=59508
time=16176, red=54116, ir=59474
time=16196, red=54112, ir=59459
time=16216, red=54099, ir=59430
time=16236, red=54085, ir=59407
time=16256, red=54077, ir=59398
time=16276, red=54055, ir=59373
time=16296, red=54062, ir=59329
time=16316, red=54058, ir=59316
time=16336, red=54047, ir=59302
time=16356, red=54035, ir=59272
time=16376, red=54036, ir=59268
time=16396, red=54037, ir=59249
time=16417, red=54034, ir=59240
time=16437, red=54048, ir=59222
time=16457, red=54048, ir=59215
time=16477, red=54044, ir=59211
time=16497, red=54055, ir=59209
time=16517, red=54064, ir=59217
time=16537, red=54063, ir=59229
time=16557, red=54076, ir=59218
time=16577, red=54091, ir=59220
time=16597, red=54090, ir=59225
time=16617, red=54101, ir=59235
time=16637, red=54101, ir=59239
time=16657, red=54097, ir=59237
time=16677, red=54108, ir=59268
time=16697, red=54126, ir=59266
time=16717, red=54124, ir=59251
time=16737, red=54132, ir=59260
time=16757, red=54122, ir=59266
time=16777, red=54128, ir=59273
time=16797, red=54126, ir=59257
time=16817, red=54142, ir=59266
time=16837, red=54134, ir=59266
time=16857, red=54130, ir=59270
time=16877, red=54136, ir=59261
time=16897, red=54131, ir=59269
time=16917, red=54144, ir=59287
time=16937, red=54143, ir=59290
time=16957, red=54139, ir=59283
time=16977, red=54138, ir=59304
time=16997, red=54151, ir=59310
time=17017, red=54158, ir=59336
time=17037, red=54158, ir=59344
time=17057, red=54153, ir=59342
time=17077, red=54149, ir=59357
time=17097, red=54165, ir=59351
time=17118, red=54161, ir=59373
time=17138, red=54167, ir=59380
time=17158, red=54179, ir=59395
time=17178, red=54176, ir=59418
time=17198, red=54174, ir=59414
time=17218, red=54180, ir=59414
time=17238, red=54181, ir=59426
time=17258, red=54183, ir=59439
time=17278, red=54179, ir=59443
time=17298, red=54186, ir=59448
time=17318, red=54171, ir=59456
time=17338, red=54174, ir=59470
time=17358, red=54170, ir=59469
time=17378, red=54181, ir=59480
time=17398, red=54183, ir=59484
time=17418, red=54169, ir=59499
time=17438, red=54187, ir=59514
time=17458, red=54168, ir=59516
time=17478, red=54173, ir=59530
time=17498, red=54180, ir=59534
time=17518, red=54171, ir=59559
time=17538, red=54185, ir=59561
time=17558, red=54178, ir=59562
time=17578, red=54180, ir=59564
time=17598, red=54175, ir=59593
time=17618, red=54167, ir=59593
time=17638, red=54179, ir=59605
time=17658, red=54169, ir=59619
time=17678, red=54167, ir=59585
time=17698, red=54163, ir=59566
time=17718, red=54148, ir=59551
time=17738, red=54149, ir=59531
time=17758, red=54121, ir=59534
time=17778, red=54116, ir=59502
time=17799, red=54106, ir=59479
time=17819, red=54096, ir=59462
time=17839, red=54075, ir=59419
time=17859, red=54061, ir=59398
time=17879, red=54041, ir=59386
time=17899, red=54054, ir=59369
time=17919, red=54043, ir=59344
time=17939, red=54044, ir=59297
time=17959, red=54034, ir=59286
time=17979, red=54038, ir=59279
time=17999, red=54024, ir=59260
HR=76, SP=91
time=18019, red=54024, ir=59254
time=18039, red=54048, ir=59259
time=18059, red=54042, ir=59258
time=18079, red=54034, ir=59253
time=18099, red=54059, ir=59260
time=18119, red=54063, ir=59254
time=18139, red=54051, ir=59258
time=18159, red=54048, ir=59258
time=18179, red=54083, ir=59247
time=18199, red=54064, ir=59269
time=18219, red=54072, ir=59257
time=18239, red=54073, ir=59249
time=18259, red=54070, ir=59276
time=18279, red=54084, ir=59280
time=18299, red=54085, ir=59273
time=18319, red=54082, ir=59303
time=18339, red=54083, ir=59296
time=18359, red=54089, ir=59299
time=18379, red=54096, ir=59285
time=18399, red=54086, ir=59292
time=18419, red=54093, ir=59295
time=18439, red=54077, ir=59297
time=18459, red=54079, ir=59297
time=18480, red=54080, ir=59287
time=18500, red=54082, ir=59296
time=18520, red=54074, ir=59282
time=18540, red=54087, ir=59288
time=18560, red=54087, ir=59285
time=18580, red=54084, ir=59308
time=18600, red=54080, ir=59309
time=18620, red=54091, ir=59334
time=18640, red=54096, ir=59325
time=18660, red=54108, ir=59338
time=18680, red=54104, ir=59337
time=18700, red=54088, ir=59335
time=18720, red=54100, ir=59342
time=18740, red=54098, ir=59345
time=18760, red=54091, ir=59371
time=18780, red=54104, ir=59384
time=18800, red=54105, ir=59375
time=18820, red=54106, ir=59379
time=18840, red=54108, ir=59378
time=18860, red=54095, ir=59404
time=18880, red=54107, ir=59389
time=18900, red=54104, ir=59409
time=18920, red=54121, ir=59415
time=18940, red=54117, ir=59418
time=18960, red=54112, ir=59424
time=18980, red=54111, ir=59428
time=19000, red=54118, ir=59437
time=19020, red=54117, ir=59448
time=19040, red=54125, ir=59443
time=19060, red=54107, ir=59444
time=19080, red=54108, ir=59444
time=19100, red=54118, ir=59447
time=19120, red=54099, ir=59460
time=19140, red=54097, ir=59453
time=19161, red=54108, ir=59468
time=19181, red=54113, ir=59474
time=19201, red=54112, ir=59466
time=19221, red=54101, ir=59455
time=19241, red=54105, ir=59433
time=19261, red=54093, ir=59426
time=19281, red=54093, ir=59412
time=19301, red=54051, ir=59376
time=19321, red=54061, ir=59365
time=19341, red=54059, ir=59326
time=19361, red=54033, ir=59312
time=19381, red=54044, ir=59292
time=19401, red=54032, ir=59258
time=19421, red=54018, ir=59210
time=19441, red=54008, ir=59199
time=19461, red=54005, ir=59192
time=19481, red=54019, ir=59156
time=19501, red=54024, ir=59145
time=19521, red=54016, ir=59133
time=19541, red=54023, ir=59116
time=19561, red=54023, ir=59108
time=19581, red=54037, ir=59079
time=19601, red=54033, ir=59077
time=19621, red=54043, ir=59078
time=19641, red=54056, ir=59077
time=19661, red=54058, ir=59082
time=19681, red=54070, ir=59083
time=19701, red=54076, ir=59088
time=19721, red=54101, ir=59105
time=19741, red=54110, ir=59100
time=19761, red=54111, ir=59107
time=19781, red=54129, ir=59104
time=19801, red=54132, ir=59129
time=19821, red=54135, ir=59139
time=19842, red=54146, ir=59136
time=19862, red=54147, ir=59122
time=19882, red=54127, ir=59139
time=19902, red=54146, ir=59152
time=19922, red=54166, ir=59146
time=19942, red=54157, ir=59147
time=19962, red=54177, ir=59144
time=19982, red=54168, ir=59152
time=20002, red=54168, ir=59167
HR=105, SP=91
time=20029, red=54170, ir=59172
time=20042, red=54174, ir=59172
time=20062, red=54189, ir=59177
time=20082, red=54194, ir=59188
time=20102, red=54184, ir=59174
time=20122, red=54185, ir=59188
time=20142, red=54192, ir=59200
time=20162, red=54173, ir=59214
time=20182, red=54169, ir=59214
time=20202, red=54162, ir=59224
time=20222, red=54164, ir=59225
time=20242, red=54183, ir=59212
time=20262, red=54171, ir=59238
time=20282, red=54184, ir=59236
time=20302, red=54177, ir=59261
time=20322, red=54184, ir=59267
time=20342, red=54179, ir=59269
time=20362, red=54179, ir=59276
time=20382, red=54177, ir=59284
time=20402, red=54171, ir=59287
time=20422, red=54182, ir=59292
time=20442, red=54206, ir=59300
