AT4T18P2 - Pris - 5_5_411_50, approx 25,000 ms tongue movement
time=8289, red=43518, ir=53700
time=8309, red=43513, ir=53694
time=8329, red=43503, ir=53670
time=8349, red=43510, ir=53656
time=8369, red=43499, ir=53638
time=8389, red=43494, ir=53627
time=8409, red=43514, ir=53620
time=842time=15647, red=43560, ir=54019
time=15667, red=43572, ir=54027
time=15687, red=43560, ir=54031
time=15707, red=43564, ir=54041
time=15727, red=43555, ir=54048
time=15747, red=43559, ir=54051
time=15767, red=43561, ir=54059
time=15787, red=43564, ir=54067
time=15807, red=43564, ir=54058
time=15827, red=43576, ir=54070
time=15847, red=43571, ir=54075
time=15867, red=43566, ir=54077
time=15887, red=43566, ir=54083
time=15907, red=43578, ir=54083
time=15927, red=43581, ir=54093
time=15947, red=43569, ir=54098
time=15967, red=43583, ir=54105
HR=117, SP=94
time=15992, red=43585, ir=54113
time=16007, red=43583, ir=54114
time=16027, red=43582, ir=54124
time=16047, red=43570, ir=54118
time=16067, red=43567, ir=54114
time=16087, red=43566, ir=54103
time=16107, red=43560, ir=54102
time=16127, red=43567, ir=54086
time=16147, red=43546, ir=54074
time=16167, red=43552, ir=54066
time=16187, red=43550, ir=54050
time=16207, red=43512, ir=54027
time=16227, red=43524, ir=53996
time=16247, red=43504, ir=53980
time=16267, red=43519, ir=53963
time=16287, red=43510, ir=53944
time=16307, red=43493, ir=53930
time=16327, red=43500, ir=53927
time=16347, red=43504, ir=53889
time=16367, red=43506, ir=53892
time=16387, red=43486, ir=53873
time=16407, red=43492, ir=53866
time=16427, red=43490, ir=53867
time=16447, red=43509, ir=53875
time=16467, red=43509, ir=53895
time=16487, red=43510, ir=53889
time=16507, red=43527, ir=53914
time=16527, red=43526, ir=53926
time=16547, red=43549, ir=53926
time=16567, red=43546, ir=53946
time=16587, red=43547, ir=53948
time=16607, red=43555, ir=53948
time=16627, red=43548, ir=53962
time=16647, red=43560, ir=53976
time=16667, red=43560, ir=53983
time=16687, red=43559, ir=53959
time=16707, red=43564, ir=53977
time=16727, red=43558, ir=53978
time=16747, red=43550, ir=53973
time=16767, red=43551, ir=53990
time=16787, red=43557, ir=53996
time=16807, red=43557, ir=54001
time=16827, red=43560, ir=54003
time=16847, red=43565, ir=53999
time=16867, red=43559, ir=54015
time=16887, red=43567, ir=54023
time=16907, red=43575, ir=54017
time=16927, red=43561, ir=54010
time=16947, red=43564, ir=54021
time=16967, red=43570, ir=54049
time=16987, red=43567, ir=54044
time=17007, red=43574, ir=54043
time=17027, red=43582, ir=54053
time=17047, red=43574, ir=54074
time=17067, red=43580, ir=54093
time=17087, red=43581, ir=54091
time=17107, red=43592, ir=54102
time=17127, red=43581, ir=54106
time=17147, red=43581, ir=54131
time=17167, red=43587, ir=54122
time=17187, red=43579, ir=54129
time=17207, red=43580, ir=54148
time=17227, red=43578, ir=54132
time=17247, red=43596, ir=54144
time=17267, red=43576, ir=54160
time=17287, red=43584, ir=54175
time=17307, red=43585, ir=54188
time=17327, red=43592, ir=54177
time=17347, red=43586, ir=54174
time=17367, red=43573, ir=54166
time=17386, red=43557, ir=54168
time=17406, red=43583, ir=54154
time=17426, red=43568, ir=54150
time=17446, red=43564, ir=54142
time=17466, red=43552, ir=54125
time=17486, red=43541, ir=54114
time=17506, red=43529, ir=54083
time=17526, red=43529, ir=54068
time=17546, red=43518, ir=54048
time=17566, red=43519, ir=54023
time=17586, red=43523, ir=54018
time=17606, red=43490, ir=54008
time=17626, red=43503, ir=54014
time=17646, red=43508, ir=54001
time=17666, red=43519, ir=54001
time=17686, red=43507, ir=54012
time=17706, red=43522, ir=54012
time=17726, red=43521, ir=54005
time=17746, red=43507, ir=54001
time=17766, red=43525, ir=54016
time=17786, red=43523, ir=54012
time=17806, red=43532, ir=54012
time=17826, red=43522, ir=54014
time=17846, red=43542, ir=54025
time=17866, red=43550, ir=54028
time=17886, red=43535, ir=54039
time=17906, red=43538, ir=54025
time=17926, red=43546, ir=54039
time=17946, red=43529, ir=54035
time=17966, red=43536, ir=54030
HR=92, SP=96
time=17986, red=43550, ir=54042
time=18006, red=43543, ir=54031
time=18026, red=43542, ir=54042
time=18046, red=43537, ir=54020
time=18066, red=43537, ir=54040
time=18086, red=43547, ir=54033
time=18106, red=43542, ir=54040
time=18126, red=43551, ir=54058
time=18146, red=43538, ir=54054
time=18166, red=43558, ir=54067
time=18186, red=43550, ir=54070
time=18206, red=43545, ir=54063
time=18226, red=43553, ir=54061
time=18246, red=43545, ir=54059
time=18266, red=43550, ir=54063
time=18286, red=43553, ir=54092
time=18306, red=43558, ir=54076
time=18326, red=43549, ir=54094
time=18346, red=43552, ir=54096
time=18366, red=43560, ir=54123
time=18386, red=43555, ir=54112
time=18406, red=43551, ir=54123
time=18426, red=43548, ir=54131
time=18446, red=43556, ir=54131
time=18466, red=43573, ir=54145
time=18486, red=43564, ir=54143
time=18506, red=43567, ir=54166
time=18526, red=43574, ir=54171
time=18546, red=43556, ir=54143
time=18566, red=43563, ir=54132
time=18586, red=43548, ir=54105
time=18606, red=43541, ir=54096
time=18626, red=43537, ir=54072
time=18646, red=43525, ir=54061
time=18666, red=43522, ir=54033
time=18686, red=43522, ir=54030
time=18706, red=43500, ir=54006
time=18726, red=43489, ir=53994
time=18746, red=43490, ir=54007
time=18766, red=43489, ir=53995
time=18786, red=43506, ir=53978
time=18806, red=43481, ir=53972
time=18826, red=43505, ir=53961
time=18846, red=43505, ir=53966
time=18866, red=43487, ir=53974
time=18886, red=43496, ir=53976
time=18906, red=43515, ir=53981
time=18926, red=43514, ir=54007
time=18946, red=43527, ir=54017
time=18966, red=43540, ir=54011
time=18986, red=43534, ir=54023
time=19006, red=43535, ir=54036
time=19026, red=43546, ir=54039
time=19046, red=43544, ir=54058
time=19066, red=43564, ir=54061
time=19086, red=43564, ir=54063
time=19106, red=43557, ir=54088
time=19126, red=43566, ir=54084
time=19146, red=43564, ir=54100
time=19166, red=43559, ir=54106
time=19186, red=43568, ir=54093
time=19206, red=43571, ir=54100
time=19226, red=43580, ir=54092
time=19246, red=43580, ir=54108
time=19266, red=43576, ir=54121
time=19286, red=43569, ir=54108
time=19306, red=43570, ir=54124
time=19326, red=43557, ir=54115
time=19346, red=43573, ir=54106
time=19366, red=43570, ir=54106
time=19386, red=43569, ir=54123
time=19406, red=43568, ir=54126
time=19426, red=43564, ir=54120
time=19446, red=43570, ir=54131
time=19466, red=43558, ir=54134
time=19486, red=43569, ir=54139
time=19506, red=43563, ir=54145
time=19526, red=43570, ir=54144
time=19546, red=43572, ir=54176
time=19566, red=43579, ir=54175
time=19586, red=43573, ir=54201
time=19606, red=43575, ir=54201
time=19626, red=43576, ir=54205
time=19646, red=43583, ir=54207
time=19666, red=43583, ir=54226
time=19686, red=43569, ir=54221
time=19706, red=43588, ir=54214
time=19726, red=43571, ir=54225
time=19746, red=43571, ir=54234
time=19766, red=43568, ir=54217
time=19786, red=43566, ir=54225
time=19806, red=43557, ir=54207
time=19826, red=43562, ir=54204
time=19846, red=43553, ir=54178
time=19866, red=43540, ir=54164
time=19886, red=43537, ir=54143
time=19906, red=43516, ir=54125
time=19926, red=43514, ir=54098
time=19946, red=43502, ir=54084
time=19966, red=43500, ir=54066
HR=117, SP=97
time=19992, red=43499, ir=54045
time=20006, red=43500, ir=54042
time=20026, red=43475, ir=54027
time=20046, red=43484, ir=54021
time=20066, red=43486, ir=54012
time=20086, red=43491, ir=53990
time=20106, red=43479, ir=54008
time=20126, red=43496, ir=53991
time=20146, red=43492, ir=54008
time=20166, red=43501, ir=54018
time=20186, red=43485, ir=54005
time=20206, red=43500, ir=54024
time=20226, red=43511, ir=54035
time=20246, red=43509, ir=54054
time=20266, red=43517, ir=54074
time=20286, red=43532, ir=54074
time=20306, red=43530, ir=54064
time=20326, red=43535, ir=54090
time=20346, red=43528, ir=54104
time=20366, red=43531, ir=54087
time=20386, red=43542, ir=54088
time=20406, red=43529, ir=54105
time=20426, red=43544, ir=54099
time=20446, red=43529, ir=54100
time=20466, red=43534, ir=54099
time=20486, red=43527, ir=54107
time=20506, red=43538, ir=54109
time=20526, red=43543, ir=54115
time=20546, red=43526, ir=54118
time=20566, red=43540, ir=54124
time=20586, red=43532, ir=54128
time=20606, red=43530, ir=54127
time=20626, red=43521, ir=54131
time=20646, red=43543, ir=54148
time=20666, red=43528, ir=54147
time=20686, red=43554, ir=54140
time=20706, red=43539, ir=54149
time=20726, red=43521, ir=54132
time=20746, red=43522, ir=54112
time=20766, red=43516, ir=54085
time=20786, red=43513, ir=54095
time=20806, red=43528, ir=54135
time=20825, red=43515, ir=54142
time=20845, red=43538, ir=54143
time=20865, red=43526, ir=54154
time=20885, red=43540, ir=54163
time=20905, red=43536, ir=54173
time=20925, red=43532, ir=54181
time=20945, red=43524, ir=54174
time=20965, red=43543, ir=54177
time=20985, red=43541, ir=54187
time=21005, red=43528, ir=54181
time=21025, red=43530, ir=54170
time=21045, red=43521, ir=54147
time=21065, red=43500, ir=54133
time=21085, red=43504, ir=54104
time=21105, red=43498, ir=54105
time=21125, red=43496, ir=54072
time=21145, red=43458, ir=54060
time=21165, red=43475, ir=54034
time=21185, red=43458, ir=54002
time=21205, red=43459, ir=53966
time=21225, red=43446, ir=53962
time=21245, red=43431, ir=53938
time=21265, red=43421, ir=53917
time=21285, red=43437, ir=53884
time=21305, red=43429, ir=53882
time=21325, red=43434, ir=53882
time=21345, red=43432, ir=53876
time=21365, red=43443, ir=53862
time=21385, red=43415, ir=53859
time=21405, red=43437, ir=53860
time=21425, red=43440, ir=53865
time=21445, red=43429, ir=53862
time=21465, red=43456, ir=53886
time=21485, red=43461, ir=53888
time=21505, red=43461, ir=53895
time=21525, red=43478, ir=53882
time=21545, red=43461, ir=53887
time=21565, red=43456, ir=53878
time=21585, red=43450, ir=53863
time=21605, red=43471, ir=53881
time=21625, red=43460, ir=53880
time=21645, red=43463, ir=53872
time=21665, red=43467, ir=53879
time=21685, red=43481, ir=53907
time=21705, red=43467, ir=53903
time=21725, red=43470, ir=53903
time=21745, red=43475, ir=53910
time=21765, red=43478, ir=53926
time=21785, red=43481, ir=53918
time=21805, red=43477, ir=53926
time=21825, red=43487, ir=53936
time=21845, red=43485, ir=53953
time=21865, red=43487, ir=53939
time=21885, red=43483, ir=53962
time=21905, red=43496, ir=53986
time=21925, red=43508, ir=53991
time=21945, red=43503, ir=54017
time=21965, red=43527, ir=54008
HR=120, SP=98
time=21985, red=43508, ir=53973
time=22005, red=43506, ir=53970
time=22025, red=43500, ir=53933
time=22045, red=43500, ir=53952
time=22065, red=43506, ir=53973
time=22085, red=43498, ir=53984
time=22105, red=43505, ir=53997
time=22125, red=43497, ir=53999
time=22145, red=43501, ir=53999
time=22165, red=43506, ir=53997
time=22185, red=43499, ir=53986
time=22205, red=43473, ir=53977
time=22225, red=43485, ir=53963
time=22245, red=43485, ir=53952
time=22265, red=43495, ir=53935
time=22285, red=43485, ir=53908
time=22305, red=43454, ir=53834
time=22325, red=43442, ir=53787
time=22345, red=43419, ir=53732
time=22365, red=43420, ir=53730
time=22385, red=43428, ir=53741
time=22405, red=43422, ir=53728
time=22425, red=43424, ir=53726
time=22445, red=43427, ir=53726
time=22465, red=43429, ir=53705
time=22485, red=43436, ir=53722
time=22505, red=43440, ir=53718
time=22525, red=43431, ir=53717
time=22545, red=43450, ir=53724
time=22565, red=43449, ir=53743
time=22585, red=43463, ir=53749
time=22605, red=43469, ir=53771
time=22625, red=43487, ir=53778
time=22645, red=43491, ir=53800
time=22665, red=43505, ir=53792
time=22685, red=43579, ir=53835
time=22705, red=44957, ir=54097
time=22725, red=46152, ir=53808
time=22745, red=45657, ir=52541
time=22765, red=43196, ir=52442
time=22785, red=39646, ir=53926
time=22805, red=37289, ir=53982
time=22825, red=38994, ir=53142
time=22845, red=34016, ir=51552
time=22865, red=32426, ir=51928
time=22885, red=32316, ir=51034
time=22905, red=34425, ir=52215
time=22925, red=35734, ir=52591
time=22945, red=30478, ir=52623
time=22965, red=30476, ir=52649
time=22985, red=31960, ir=52615
time=23005, red=32089, ir=52314
time=23025, red=32096, ir=51538
time=23045, red=32021, ir=51105
time=23065, red=32273, ir=50789
time=23085, red=32466, ir=51902
time=23105, red=31319, ir=53494
time=23125, red=32303, ir=53539
time=23145, red=31115, ir=52992
time=23165, red=29969, ir=54040
time=23185, red=34632, ir=55856
time=23205, red=36854, ir=55528
time=23225, red=40555, ir=54452
time=23245, red=46324, ir=56064
time=23265, red=47080, ir=55242
time=23285, red=49728, ir=58301
time=23305, red=49184, ir=58355
time=23325, red=48974, ir=57509
time=23345, red=49392, ir=56603
time=23365, red=44138, ir=53774
time=23385, red=45686, ir=54834
time=23405, red=45457, ir=55045
time=23425, red=45992, ir=54783
time=23445, red=46303, ir=54380
time=23465, red=46375, ir=54576
time=23485, red=47910, ir=57322
time=23505, red=48769, ir=57451
time=23525, red=48488, ir=55725
time=23545, red=46558, ir=54141
time=23565, red=44734, ir=53340
time=23585, red=40434, ir=49777
time=23605, red=38312, ir=49052
time=23625, red=33447, ir=50084
time=23645, red=32538, ir=51606
time=23665, red=27420, ir=51165
time=23685, red=33117, ir=52417
time=23705, red=32181, ir=53577
time=23725, red=30838, ir=50408
time=23745, red=26227, ir=46644
time=23765, red=20475, ir=42691
time=23785, red=24118, ir=40194
time=23805, red=28331, ir=43063
time=23825, red=29004, ir=44615
time=23845, red=24733, ir=50716
time=23865, red=28738, ir=51269
time=23885, red=30011, ir=48130
time=23905, red=32133, ir=53477
time=23925, red=27099, ir=51737
time=23945, red=32129, ir=54223
time=23965, red=33164, ir=53448
HR=545, SP=-1
time=23989, red=39248, ir=54879
time=24005, red=46203, ir=56341
time=24025, red=44677, ir=56421
time=24045, red=45865, ir=58197
time=24065, red=44363, ir=56843
time=24085, red=48447, ir=55911
time=24105, red=49126, ir=57509
time=24125, red=48832, ir=56579
time=24145, red=48012, ir=55200
time=24165, red=46967, ir=53500
time=24185, red=45882, ir=53170
time=24205, red=44605, ir=52401
time=24225, red=44575, ir=52587
time=24245, red=45694, ir=54567
time=24265, red=47627, ir=55319
time=24284, red=48368, ir=56580
time=24304, red=46217, ir=54287
time=24324, red=44365, ir=52858
time=24344, red=41896, ir=50920
time=24364, red=35310, ir=48142
time=24384, red=34584, ir=50235
time=24404, red=33741, ir=52073
time=24424, red=32049, ir=51047
time=24444, red=34777, ir=53161
time=24464, red=34140, ir=53642
time=24484, red=30920, ir=52301
time=24504, red=26999, ir=50564
time=24524, red=28228, ir=46854
time=24544, red=23686, ir=39964
time=24564, red=22659, ir=37829
time=24584, red=22424, ir=37475
time=24604, red=25578, ir=48012
time=24624, red=30618, ir=51462
time=24644, red=32912, ir=52388
time=24664, red=32677, ir=53793
time=24684, red=35407, ir=53844
time=24704, red=34770, ir=53819
time=24724, red=35458, ir=53806
time=24744, red=43264, ir=58065
time=24764, red=42319, ir=55676
time=24784, red=48734, ir=57403
time=24804, red=51573, ir=59030
time=24824, red=54105, ir=59942
time=24844, red=50088, ir=56556
time=24864, red=46245, ir=53678
time=24884, red=45522, ir=54704
time=24904, red=45091, ir=53970
time=24924, red=45613, ir=54275
time=24944, red=45089, ir=53290
time=24964, red=44850, ir=53152
time=24984, red=44746, ir=53351
time=25004, red=44180, ir=52463
time=25024, red=45479, ir=54399
time=25044, red=44971, ir=54013
time=25064, red=47876, ir=56459
time=25084, red=46984, ir=55528
time=25104, red=44099, ir=52770
time=25124, red=39476, ir=50693
time=25144, red=37290, ir=49462
time=25164, red=33814, ir=51054
time=25184, red=32580, ir=51643
time=25204, red=29514, ir=51626
time=25224, red=34670, ir=52568
time=25244, red=32617, ir=52532
time=25264, red=30447, ir=51181
time=25284, red=30967, ir=49960
time=25304, red=27606, ir=47618
time=25324, red=23583, ir=41929
time=25344, red=20643, ir=33377
time=25364, red=18789, ir=28977
time=25384, red=18143, ir=26771
time=25404, red=22453, ir=33839
time=25424, red=23808, ir=49410
time=25444, red=22319, ir=48596
time=25464, red=30362, ir=52411
time=25484, red=31353, ir=51348
time=25504, red=26600, ir=49756
time=25524, red=31075, ir=52570
time=25544, red=30353, ir=51777
time=25564, red=32647, ir=54334
time=25584, red=41203, ir=56214
time=25604, red=54081, ir=58687
time=25624, red=48870, ir=56177
time=25644, red=46428, ir=54410
time=25664, red=45049, ir=53938
time=25684, red=45329, ir=54130
time=25704, red=45366, ir=54042
time=25724, red=45197, ir=53866
time=25744, red=45992, ir=54693
time=25764, red=48059, ir=56293
time=25784, red=45929, ir=54994
time=25804, red=47129, ir=55520
time=25824, red=44790, ir=53884
time=25844, red=43188, ir=52671
time=25864, red=40794, ir=51082
time=25884, red=39334, ir=51670
time=25904, red=35150, ir=50318
time=25924, red=33293, ir=52525
time=25944, red=31924, ir=52843
time=25964, red=30175, ir=52171
HR=545, SP=-1
time=25984, red=25759, ir=49800
time=26004, red=32414, ir=53251
time=26024, red=26598, ir=50584
time=26044, red=31902, ir=52582
time=26064, red=34327, ir=55254
time=26084, red=36053, ir=57018
time=26104, red=35159, ir=55882
time=26124, red=35254, ir=55795
time=26144, red=35238, ir=55646
time=26164, red=34377, ir=56406
time=26184, red=34691, ir=55756
time=26204, red=34142, ir=56139
time=26224, red=32988, ir=55154
time=26244, red=29695, ir=52409
time=26264, red=31418, ir=55604
time=26284, red=31623, ir=52304
time=26304, red=38138, ir=54418
time=26324, red=41191, ir=54302
time=26344, red=45091, ir=55144
time=26364, red=46014, ir=54580
time=26384, red=47897, ir=56269
time=26404, red=50662, ir=58608
time=26424, red=49712, ir=57055
time=26444, red=50181, ir=57537
time=26464, red=49669, ir=56993
time=26484, red=48936, ir=56750
time=26504, red=49095, ir=56633
time=26524, red=47065, ir=55723
time=26544, red=46266, ir=55398
time=26564, red=46530, ir=55343
time=26584, red=47827, ir=56909
time=26604, red=48123, ir=56015
time=26624, red=47311, ir=56572
time=26644, red=48288, ir=56932
time=26664, red=47270, ir=56040
time=26684, red=44830, ir=53298
time=26704, red=41177, ir=50632
time=26724, red=41107, ir=51802
time=26744, red=39547, ir=50524
time=26764, red=35689, ir=49571
time=26784, red=34491, ir=51058
time=26804, red=33346, ir=52033
time=26824, red=32290, ir=53543
time=26844, red=28630, ir=52314
time=26864, red=29084, ir=52456
time=26884, red=31027, ir=49083
time=26904, red=27684, ir=46865
time=26924, red=21812, ir=29077
time=26944, red=20320, ir=29029
time=26964, red=22848, ir=39679
time=26984, red=19477, ir=48235
time=27004, red=29561, ir=55999
time=27024, red=33786, ir=56405
time=27044, red=34210, ir=56829
time=27064, red=34038, ir=56619
time=27084, red=33831, ir=56490
time=27104, red=33622, ir=56654
time=27124, red=31677, ir=54155
time=27144, red=30212, ir=37161
time=27164, red=8753, ir=16384
time=27184, red=11245, ir=14979
time=27204, red=20152, ir=24621
time=27224, red=41469, ir=57650
time=27244, red=45727, ir=57535
time=27264, red=42571, ir=56840
time=27284, red=46374, ir=58627
time=27304, red=45943, ir=57348
time=27323, red=49580, ir=57371
time=27343, red=50515, ir=58029
time=27363, red=50658, ir=58013
time=27383, red=49726, ir=57174
time=27403, red=49247, ir=57349
time=27423, red=50300, ir=57692
time=27443, red=51154, ir=57412
time=27463, red=49102, ir=55390
time=27483, red=48221, ir=55170
time=27503, red=47683, ir=54786
time=27523, red=47459, ir=54725
time=27543, red=47124, ir=54193
