AT4T21P2 - Pris - 5_5_411_50, movement around 80k ms
time=18686, red=46889, ir=54165
time=18706, red=46882, ir=54166
time=18726, red=46893, ir=54162
time=18746, red=46905, ir=54187
time=18766, red=46902, ir=54197
time=18786, red=46903, ir=54212
time=18806, red=46904, ir=54225
time=18826, red=46918, ir=54224
time=18846, red=46924, ir=54229
time=18866, red=46916, ir=54228
time=18886, red=46930, ir=54243
time=18906, red=46933, ir=54240
time=18926, red=46917, ir=54240
time=18946, red=46918, ir=54247
time=18966, red=46913, ir=54262
time=18986, red=46931, ir=54254
time=19006, red=46924, ir=54253
time=19026, red=46928, ir=54246
time=19046, red=46932, ir=54249
time=19066, red=46934, ir=54259
time=19086, red=46929, ir=54258
time=19106, red=46928, ir=54266
time=19126, red=46935, ir=54273
time=19146, red=46936, ir=54291
time=19166, red=46927, ir=54284
time=19186, red=46927, ir=54285
time=19206, red=46939, ir=54300
time=19226, red=46929, ir=54298
time=19246, red=46937, ir=54307
time=19266, red=46923, ir=54318
time=19286, red=46942, ir=54329
time=19306, red=46942, ir=54313
time=19325, red=46934, ir=54338
time=19345, red=46938, ir=54334
time=19365, red=46946, ir=54337
time=19385, red=46933, ir=54345
time=19405, red=46931, ir=54357
time=19425, red=46927, ir=54355
time=19445, red=46933, ir=54370
time=19465, red=46943, ir=54374
time=19485, red=46939, ir=54379
time=19505, red=46937, ir=54373
time=19525, red=46928, ir=54378
time=19545, red=46947, ir=54372
time=19565, red=46931, ir=54379
time=19585, red=46941, ir=54387
time=19605, red=46933, ir=54390
time=19625, red=46937, ir=54393
time=19645, red=46936, ir=54394
time=19665, red=46937, ir=54385
time=19685, red=46926, ir=54386
time=19705, red=46914, ir=54361
time=19725, red=46911, ir=54355
time=19745, red=46924, ir=54347
time=19765, red=46897, ir=54320
time=19785, red=46896, ir=54305
time=19805, red=46881, ir=54276
time=19825, red=46886, ir=54259
time=19845, red=46881, ir=54253
time=19865, red=46874, ir=54234
time=19885, red=46875, ir=54223
time=19905, red=46859, ir=54212
time=19925, red=46852, ir=54198
time=19945, red=46889, ir=54214
time=19965, red=46872, ir=54179
HR=89, SP=70
time=19990, red=46863, ir=54174
time=20005, red=46885, ir=54178
time=20025, red=46887, ir=54194
time=20045, red=46890, ir=54208
time=20065, red=46889, ir=54205
time=20085, red=46905, ir=54211
time=20105, red=46894, ir=54234
time=20125, red=46912, ir=54246
time=20145, red=46916, ir=54238
time=20165, red=46929, ir=54251
time=20185, red=46933, ir=54252
time=20205, red=46928, ir=54255
time=20225, red=46923, ir=54255
time=20245, red=46931, ir=54268
time=20265, red=46941, ir=54274
time=20285, red=46920, ir=54280
time=20305, red=46927, ir=54286
time=20325, red=46929, ir=54285
time=20345, red=46935, ir=54293
time=20365, red=46933, ir=54304
time=20385, red=46927, ir=54301
time=20405, red=46934, ir=54300
time=20425, red=46934, ir=54294
time=20445, red=46940, ir=54303
time=20465, red=46925, ir=54327
time=20485, red=46936, ir=54330
time=20505, red=46955, ir=54330
time=20525, red=46952, ir=54338
time=20545, red=46934, ir=54343
time=20565, red=46947, ir=54341
time=20585, red=46951, ir=54364
time=20605, red=46954, ir=54362
time=20625, red=46945, ir=54380
time=20645, red=46944, ir=54386
time=20665, red=46958, ir=54388
time=20685, red=46964, ir=54379
time=20705, red=46956, ir=54395
time=20725, red=46946, ir=54390
time=20745, red=46960, ir=54405
time=20765, red=46946, ir=54415
time=20785, red=46965, ir=54422
time=20805, red=46951, ir=54424
time=20825, red=46936, ir=54428
time=20845, red=46943, ir=54443
time=20865, red=46947, ir=54445
time=20885, red=46946, ir=54435
time=20905, red=46936, ir=54437
time=20925, red=46945, ir=54462
time=20945, red=46939, ir=54448
time=20965, red=46939, ir=54459
time=20985, red=46948, ir=54458
time=21005, red=46933, ir=54449
time=21025, red=46940, ir=54452
time=21045, red=46932, ir=54442
time=21065, red=46926, ir=54418
time=21085, red=46910, ir=54400
time=21105, red=46911, ir=54369
time=21125, red=46886, ir=54365
time=21145, red=46891, ir=54333
time=21165, red=46895, ir=54318
time=21185, red=46891, ir=54297
time=21205, red=46871, ir=54289
time=21225, red=46871, ir=54263
time=21245, red=46876, ir=54246
time=21265, red=46881, ir=54239
time=21285, red=46866, ir=54242
time=21305, red=46869, ir=54221
time=21325, red=46873, ir=54226
time=21345, red=46883, ir=54232
time=21365, red=46897, ir=54245
time=21385, red=46901, ir=54251
time=21405, red=46914, ir=54269
time=21425, red=46907, ir=54261
time=21445, red=46913, ir=54265
time=21465, red=46906, ir=54272
time=21485, red=46929, ir=54279
time=21505, red=46924, ir=54295
time=21525, red=46927, ir=54290
time=21545, red=46930, ir=54293
time=21565, red=46927, ir=54301
time=21585, red=46930, ir=54291
time=21605, red=46935, ir=54298
time=21625, red=46913, ir=54307
time=21645, red=46927, ir=54295
time=21665, red=46918, ir=54305
time=21685, red=46924, ir=54307
time=21705, red=46930, ir=54303
time=21725, red=46930, ir=54311
time=21745, red=46915, ir=54311
time=21765, red=46932, ir=54326
time=21785, red=46927, ir=54329
time=21805, red=46929, ir=54331
time=21825, red=46943, ir=54346
time=21845, red=46946, ir=54337
time=21865, red=46937, ir=54368
time=21885, red=46929, ir=54353
time=21905, red=46946, ir=54362
time=21925, red=46943, ir=54363
time=21945, red=46929, ir=54373
time=21965, red=46926, ir=54376
HR=92, SP=79
time=21985, red=46936, ir=54387
time=22005, red=46949, ir=54379
time=22025, red=46953, ir=54395
time=22045, red=46951, ir=54394
time=22065, red=46952, ir=54405
time=22085, red=46946, ir=54404
time=22105, red=46948, ir=54413
time=22125, red=46940, ir=54425
time=22145, red=46932, ir=54409
time=22165, red=46949, ir=54433
time=22185, red=46931, ir=54430
time=22205, red=46944, ir=54440
time=22225, red=46943, ir=54428
time=22245, red=46923, ir=54435
time=22265, red=46934, ir=54446
time=22285, red=46946, ir=54416
time=22305, red=46933, ir=54418
time=22325, red=46929, ir=54417
time=22345, red=46928, ir=54400
time=22365, red=46917, ir=54382
time=22385, red=46923, ir=54367
time=22405, red=46899, ir=54342
time=22424, red=46889, ir=54312
time=22444, red=46884, ir=54305
time=22464, red=46887, ir=54281
time=22484, red=46879, ir=54265
time=22504, red=46877, ir=54256
time=22524, red=46867, ir=54242
time=22544, red=46868, ir=54248
time=22564, red=46889, ir=54228
time=22584, red=46875, ir=54232
time=22604, red=46873, ir=54214
time=22624, red=46875, ir=54203
time=22644, red=46883, ir=54207
time=22664, red=46889, ir=54228
time=22684, red=46893, ir=54226
time=22704, red=46894, ir=54241
time=22724, red=46908, ir=54235
time=22744, red=46921, ir=54238
time=22764, red=46916, ir=54240
time=22784, red=46907, ir=54255
time=22804, red=46913, ir=54256
time=22824, red=46917, ir=54266
time=22844, red=46922, ir=54277
time=22864, red=46913, ir=54278
time=22884, red=46930, ir=54282
time=22904, red=46933, ir=54284
time=22924, red=46941, ir=54274
time=22944, red=46923, ir=54285
time=22964, red=46925, ir=54277
time=22984, red=46922, ir=54277
time=23004, red=46916, ir=54296
time=23024, red=46928, ir=54282
time=23044, red=46926, ir=54283
time=23064, red=46936, ir=54301
time=23084, red=46915, ir=54304
time=23104, red=46922, ir=54303
time=23124, red=46918, ir=54319
time=23144, red=46923, ir=54320
time=23164, red=46922, ir=54318
time=23184, red=46924, ir=54309
time=23204, red=46929, ir=54335
time=23224, red=46926, ir=54328
time=23244, red=46929, ir=54330
time=23264, red=46919, ir=54347
time=23284, red=46929, ir=54334
time=23304, red=46925, ir=54344
time=23324, red=46940, ir=54351
time=23344, red=46931, ir=54350
time=23364, red=46918, ir=54358
time=23384, red=46918, ir=54359
time=23404, red=46922, ir=54361
time=23424, red=46935, ir=54370
