AT4T28P1 - Pris - 5_5_411_50, tongue movement approx 45k-55k ms
time=90267, red=51317, ir=58298
time=90287, red=51314, ir=58296
time=90307, red=51311, ir=58268
time=90327, red=51279, ir=58250
time=90347, red=51270, ir=58255
time=90367, red=51268, ir=58235
time=90387, red=51268, ir=58232
time=90407, red=51275, ir=58213
time=90428, red=51248, ir=58192
time=90448, red=51214, ir=58133
time=90468, red=51208, ir=58107
time=90488, red=51171, ir=58075
time=90508, red=51153, ir=58050
time=90528, red=51148, ir=58028
time=90548, red=51138, ir=57988
time=90568, red=51119, ir=57963
time=90588, red=51103, ir=57951
time=90608, red=51084, ir=57940
time=90628, red=51096, ir=57926
time=90648, red=51112, ir=57945
time=90668, red=51092, ir=57935
time=90688, red=51072, ir=57931
time=90708, red=51089, ir=57931
time=90728, red=51084, ir=57913
time=90748, red=51075, ir=57909
time=90768, red=51068, ir=57900
time=90788, red=51066, ir=57902
time=90808, red=51075, ir=57897
time=90828, red=51055, ir=57904
time=90848, red=51070, ir=57897
time=90868, red=51085, ir=57898
time=90888, red=51077, ir=57891
time=90908, red=51054, ir=57878
time=90928, red=51041, ir=57845
time=90948, red=51038, ir=57839
time=90968, red=51033, ir=57831
time=90988, red=51036, ir=57832
time=91008, red=51039, ir=57828
time=91028, red=51036, ir=57843
time=91048, red=51026, ir=57844
time=91068, red=51019, ir=57835
time=91088, red=51021, ir=57820
time=91108, red=51000, ir=57817
time=91128, red=51014, ir=57802
time=91148, red=50998, ir=57794
time=91168, red=50986, ir=57776
time=91188, red=50971, ir=57747
time=91208, red=50964, ir=57761
time=91228, red=50939, ir=57735
time=91248, red=50950, ir=57724
time=91268, red=50942, ir=57723
time=91288, red=50942, ir=57712
time=91308, red=50941, ir=57684
time=91328, red=50930, ir=57671
time=91348, red=50908, ir=57674
time=91368, red=50898, ir=57664
time=91388, red=50879, ir=57638
time=91408, red=50864, ir=57628
time=91428, red=50859, ir=57620
time=91448, red=50866, ir=57630
time=91468, red=50863, ir=57640
time=91488, red=50870, ir=57646
time=91508, red=50880, ir=57648
time=91528, red=50875, ir=57652
time=91548, red=50882, ir=57663
time=91568, red=50870, ir=57649
time=91589, red=50874, ir=57618
time=91609, red=50883, ir=57633
time=91629, red=50866, ir=57615
time=91649, red=50878, ir=57612
time=91669, red=50857, ir=57586
time=91689, red=50843, ir=57523
time=91709, red=50829, ir=57478
time=91729, red=50830, ir=57469
time=91749, red=50834, ir=57440
time=91769, red=50849, ir=57431
time=91789, red=50845, ir=57432
time=91809, red=50853, ir=57423
time=91829, red=50865, ir=57427
time=91849, red=50866, ir=57428
time=91869, red=50896, ir=57409
time=91889, red=50899, ir=57356
time=91909, red=50867, ir=57334
time=91929, red=50872, ir=57326
time=91949, red=50886, ir=57337
time=91969, red=50889, ir=57318
time=91989, red=50902, ir=57329
time=92009, red=50918, ir=57355
time=92029, red=50933, ir=57379
time=92049, red=50963, ir=57382
time=92069, red=50975, ir=57388
HR=120, SP=-1
time=92096, red=50946, ir=57317
time=92109, red=50924, ir=57294
time=92129, red=50933, ir=57287
time=92149, red=50911, ir=57248
time=92169, red=50929, ir=57300
time=92189, red=50942, ir=57324
time=92209, red=50957, ir=57319
time=92229, red=50958, ir=57323
time=92249, red=50953, ir=57338
time=92269, red=50948, ir=57320
time=92289, red=50954, ir=57309
time=92309, red=50952, ir=57290
time=92329, red=50943, ir=57279
time=92349, red=50940, ir=57268
time=92369, red=50927, ir=57198
time=92389, red=50918, ir=57178
time=92409, red=50913, ir=57161
time=92429, red=50899, ir=57158
time=92449, red=50894, ir=57139
time=92469, red=50899, ir=57147
time=92489, red=50895, ir=57152
time=92509, red=50898, ir=57179
time=92529, red=50914, ir=57171
time=92549, red=50925, ir=57196
time=92569, red=50935, ir=57208
time=92589, red=50937, ir=57218
time=92609, red=50936, ir=57217
time=92629, red=50941, ir=57215
time=92649, red=50950, ir=57226
time=92669, red=50955, ir=57255
time=92689, red=50950, ir=57250
time=92709, red=50980, ir=57271
time=92729, red=50970, ir=57289
time=92749, red=50981, ir=57303
time=92769, red=50986, ir=57308
time=92789, red=50993, ir=57294
time=92810, red=50994, ir=57323
time=92830, red=50993, ir=57329
time=92850, red=50999, ir=57332
time=92870, red=51017, ir=57366
time=92890, red=51023, ir=57388
time=92910, red=51034, ir=57387
time=92930, red=51030, ir=57384
time=92950, red=51020, ir=57369
time=92970, red=51025, ir=57342
time=92990, red=51026, ir=57355
time=93010, red=51033, ir=57326
time=93030, red=51029, ir=57327
time=93050, red=51024, ir=57307
time=93070, red=51024, ir=57292
time=93090, red=51038, ir=57276
time=93110, red=51050, ir=57259
time=93130, red=51053, ir=57258
time=93150, red=51064, ir=57258
time=93170, red=51056, ir=57251
time=93190, red=51082, ir=57229
time=93210, red=51076, ir=57242
time=93230, red=51087, ir=57235
time=93250, red=51092, ir=57231
time=93270, red=51110, ir=57251
time=93290, red=51117, ir=57251
time=93310, red=51120, ir=57249
time=93330, red=51130, ir=57267
time=93350, red=51149, ir=57276
time=93370, red=51135, ir=57299
time=93390, red=51157, ir=57293
time=93410, red=51158, ir=57310
time=93430, red=51169, ir=57322
time=93450, red=51178, ir=57324
time=93470, red=51194, ir=57332
time=93490, red=51179, ir=57330
time=93510, red=51176, ir=57336
time=93530, red=51181, ir=57354
time=93550, red=51187, ir=57353
time=93570, red=51177, ir=57356
time=93590, red=51175, ir=57365
time=93610, red=51195, ir=57368
time=93630, red=51200, ir=57380
time=93650, red=51205, ir=57393
time=93670, red=51214, ir=57406
time=93690, red=51215, ir=57393
time=93710, red=51233, ir=57422
time=93730, red=51202, ir=57418
time=93750, red=51220, ir=57428
time=93770, red=51226, ir=57440
time=93790, red=51235, ir=57424
time=93810, red=51198, ir=57442
time=93830, red=51226, ir=57436
time=93850, red=51201, ir=57448
time=93870, red=51232, ir=57461
time=93890, red=51228, ir=57454
time=93910, red=51227, ir=57461
time=93930, red=51221, ir=57466
time=93951, red=51220, ir=57476
time=93971, red=51218, ir=57477
time=93991, red=51216, ir=57483
time=94011, red=51233, ir=57486
time=94031, red=51230, ir=57501
time=94051, red=51213, ir=57500
time=94071, red=51236, ir=57520
HR=130, SP=99
time=94091, red=51240, ir=57518
time=94111, red=51235, ir=57527
time=94131, red=51239, ir=57538
time=94151, red=51248, ir=57538
time=94171, red=51226, ir=57551
time=94191, red=51223, ir=57572
time=94211, red=51228, ir=57559
time=94231, red=51230, ir=57575
time=94251, red=51221, ir=57580
time=94271, red=51226, ir=57580
time=94291, red=51237, ir=57597
time=94311, red=51234, ir=57599
time=94331, red=51236, ir=57609
time=94351, red=51227, ir=57616
time=94371, red=51241, ir=57623
time=94391, red=51245, ir=57610
time=94411, red=51226, ir=57633
time=94431, red=51218, ir=57620
time=94451, red=51225, ir=57601
time=94471, red=51216, ir=57590
time=94491, red=51215, ir=57564
time=94511, red=51205, ir=57549
time=94531, red=51203, ir=57548
time=94551, red=51211, ir=57524
time=94571, red=51208, ir=57515
time=94591, red=51217, ir=57493
time=94611, red=51201, ir=57505
time=94631, red=51214, ir=57491
time=94651, red=51233, ir=57501
time=94671, red=51232, ir=57495
time=94691, red=51230, ir=57483
time=94711, red=51224, ir=57495
time=94731, red=51242, ir=57480
time=94751, red=51237, ir=57488
time=94771, red=51247, ir=57483
time=94791, red=51235, ir=57485
time=94811, red=51239, ir=57511
time=94831, red=51249, ir=57501
time=94851, red=51265, ir=57505
time=94871, red=51265, ir=57517
time=94891, red=51268, ir=57546
time=94911, red=51270, ir=57536
time=94931, red=51269, ir=57535
time=94951, red=51283, ir=57545
time=94971, red=51277, ir=57548
time=94991, red=51269, ir=57556
time=95011, red=51276, ir=57553
time=95031, red=51269, ir=57566
time=95051, red=51280, ir=57554
time=95071, red=51267, ir=57555
time=95091, red=51269, ir=57555
time=95111, red=51270, ir=57556
time=95131, red=51268, ir=57575
time=95151, red=51278, ir=57559
time=95171, red=51279, ir=57576
time=95192, red=51274, ir=57572
time=95212, red=51280, ir=57573
time=95232, red=51280, ir=57600
time=95252, red=51276, ir=57619
time=95272, red=51291, ir=57616
time=95292, red=51278, ir=57601
time=95312, red=51283, ir=57624
time=95332, red=51287, ir=57611
time=95352, red=51281, ir=57636
time=95372, red=51284, ir=57648
time=95392, red=51290, ir=57639
time=95412, red=51295, ir=57665
time=95432, red=51289, ir=57647
time=95452, red=51293, ir=57674
time=95472, red=51274, ir=57669
time=95492, red=51287, ir=57648
time=95512, red=51282, ir=57667
time=95532, red=51289, ir=57675
time=95552, red=51288, ir=57671
time=95572, red=51288, ir=57698
time=95592, red=51262, ir=57665
time=95612, red=51275, ir=57663
time=95632, red=51254, ir=57648
time=95652, red=51259, ir=57678
time=95672, red=51273, ir=57680
time=95692, red=51261, ir=57691
time=95712, red=51260, ir=57694
time=95732, red=51270, ir=57724
time=95752, red=51268, ir=57709
time=95772, red=51286, ir=57720
time=95792, red=51284, ir=57719
time=95812, red=51249, ir=57708
time=95832, red=51258, ir=57716
time=95852, red=51249, ir=57694
time=95872, red=51250, ir=57687
time=95892, red=51242, ir=57676
time=95912, red=51239, ir=57675
time=95932, red=51237, ir=57663
time=95952, red=51237, ir=57628
time=95972, red=51225, ir=57615
time=95992, red=51222, ir=57611
time=96012, red=51235, ir=57596
time=96032, red=51233, ir=57582
time=96052, red=51240, ir=57593
time=96072, red=51233, ir=57582
HR=162, SP=99
time=96097, red=51228, ir=57576
time=96112, red=51245, ir=57569
time=96132, red=51249, ir=57581
time=96152, red=51253, ir=57581
time=96172, red=51246, ir=57572
time=96192, red=51263, ir=57586
time=96212, red=51262, ir=57609
time=96232, red=51262, ir=57602
time=96252, red=51269, ir=57605
time=96272, red=51279, ir=57623
time=96292, red=51276, ir=57630
time=96312, red=51295, ir=57644
time=96332, red=51286, ir=57644
time=96352, red=51282, ir=57666
time=96372, red=51301, ir=57666
time=96393, red=51291, ir=57664
time=96413, red=51295, ir=57663
time=96433, red=51292, ir=57663
time=96453, red=51299, ir=57660
time=96473, red=51300, ir=57657
time=96493, red=51295, ir=57673
time=96513, red=51300, ir=57674
time=96533, red=51299, ir=57665
time=96553, red=51295, ir=57676
time=96573, red=51302, ir=57674
time=96593, red=51289, ir=57690
time=96613, red=51293, ir=57688
time=96633, red=51301, ir=57689
time=96653, red=51311, ir=57703
time=96673, red=51314, ir=57690
time=96693, red=51300, ir=57699
time=96713, red=51304, ir=57701
time=96733, red=51305, ir=57718
time=96753, red=51297, ir=57711
time=96773, red=51309, ir=57716
time=96793, red=51299, ir=57712
time=96813, red=51293, ir=57724
time=96833, red=51310, ir=57723
time=96853, red=51308, ir=57735
time=96873, red=51294, ir=57742
time=96893, red=51310, ir=57733
time=96913, red=51297, ir=57733
time=96933, red=51303, ir=57738
time=96953, red=51281, ir=57729
time=96973, red=51290, ir=57740
time=96993, red=51301, ir=57751
time=97013, red=51299, ir=57754
time=97033, red=51296, ir=57752
time=97053, red=51289, ir=57749
time=97073, red=51285, ir=57744
time=97093, red=51293, ir=57766
time=97113, red=51292, ir=57768
time=97133, red=51293, ir=57777
time=97153, red=51288, ir=57777
time=97173, red=51289, ir=57778
time=97193, red=51279, ir=57779
time=97213, red=51284, ir=57771
time=97233, red=51280, ir=57767
time=97253, red=51276, ir=57779
time=97273, red=51276, ir=57774
time=97293, red=51287, ir=57752
time=97313, red=51276, ir=57751
time=97333, red=51268, ir=57740
time=97353, red=51251, ir=57729
time=97373, red=51243, ir=57715
time=97393, red=51243, ir=57688
time=97413, red=51234, ir=57678
time=97433, red=51235, ir=57647
time=97453, red=51248, ir=57649
time=97473, red=51234, ir=57633
time=97493, red=51240, ir=57626
time=97513, red=51246, ir=57616
time=97533, red=51227, ir=57610
time=97554, red=51236, ir=57592
time=97574, red=51243, ir=57599
time=97594, red=51246, ir=57604
time=97614, red=51235, ir=57603
time=97634, red=51255, ir=57613
time=97654, red=51267, ir=57601
time=97674, red=51271, ir=57612
time=97694, red=51272, ir=57611
time=97714, red=51282, ir=57618
time=97734, red=51283, ir=57621
time=97754, red=51295, ir=57629
time=97774, red=51291, ir=57625
time=97794, red=51296, ir=57653
time=97814, red=51299, ir=57654
time=97834, red=51306, ir=57640
time=97854, red=51305, ir=57661
time=97874, red=51296, ir=57647
time=97894, red=51295, ir=57662
time=97914, red=51293, ir=57646
time=97934, red=51285, ir=57650
time=97954, red=51302, ir=57656
time=97974, red=51300, ir=57660
time=97994, red=51304, ir=57657
time=98014, red=51310, ir=57658
time=98034, red=51295, ir=57660
time=98054, red=51304, ir=57685
time=98074, red=51302, ir=57683
HR=260, SP=94
time=98094, red=51303, ir=57688
time=98114, red=51308, ir=57680
time=98134, red=51307, ir=57687
time=98154, red=51307, ir=57688
time=98174, red=51304, ir=57690
time=98194, red=51300, ir=57690
time=98214, red=51314, ir=57713
time=98234, red=51309, ir=57699
time=98254, red=51313, ir=57721
time=98274, red=51293, ir=57696
time=98294, red=51308, ir=57710
time=98314, red=51309, ir=57711
time=98334, red=51297, ir=57724
time=98354, red=51311, ir=57707
time=98374, red=51288, ir=57713
time=98394, red=51294, ir=57715
time=98414, red=51302, ir=57709
time=98434, red=51285, ir=57722
time=98454, red=51292, ir=57722
time=98474, red=51283, ir=57726
time=98494, red=51284, ir=57720
time=98514, red=51300, ir=57725
time=98534, red=51293, ir=57746
time=98554, red=51281, ir=57732
time=98574, red=51278, ir=57739
time=98594, red=51281, ir=57736
time=98614, red=51270, ir=57719
time=98634, red=51283, ir=57728
time=98654, red=51276, ir=57744
time=98674, red=51266, ir=57734
time=98694, red=51259, ir=57713
time=98714, red=51261, ir=57723
time=98734, red=51254, ir=57719
time=98754, red=51265, ir=57744
time=98774, red=51251, ir=57741
time=98794, red=51250, ir=57716
time=98815, red=51254, ir=57703
time=98835, red=51252, ir=57711
time=98855, red=51263, ir=57733
time=98875, red=51243, ir=57756
time=98895, red=51262, ir=57743
time=98915, red=51248, ir=57746
time=98935, red=51247, ir=57709
time=98955, red=51248, ir=57694
time=98975, red=51230, ir=57660
time=98995, red=51213, ir=57662
time=99015, red=51220, ir=57643
time=99035, red=51213, ir=57629
time=99055, red=51207, ir=57598
time=99075, red=51216, ir=57590
time=99095, red=51228, ir=57595
time=99115, red=51203, ir=57556
time=99135, red=51202, ir=57517
time=99155, red=51200, ir=57533
time=99175, red=51212, ir=57499
time=99195, red=51206, ir=57496
time=99215, red=51196, ir=57472
time=99235, red=51217, ir=57490
time=99255, red=51221, ir=57490
time=99275, red=51217, ir=57468
time=99295, red=51215, ir=57451
time=99315, red=51208, ir=57461
time=99335, red=51216, ir=57460
time=99355, red=51244, ir=57494
time=99375, red=51254, ir=57504
time=99395, red=51232, ir=57457
time=99415, red=51223, ir=57426
time=99435, red=51221, ir=57435
time=99455, red=51210, ir=57389
time=99475, red=51221, ir=57429
time=99495, red=51224, ir=57468
time=99515, red=51248, ir=57481
time=99535, red=51262, ir=57503
time=99555, red=51255, ir=57514
time=99575, red=51248, ir=57512
time=99595, red=51255, ir=57509
time=99615, red=51258, ir=57520
time=99635, red=51259, ir=57538
time=99655, red=51268, ir=57537
time=99675, red=51293, ir=57538
time=99695, red=51270, ir=57506
time=99715, red=51265, ir=57499
time=99735, red=51258, ir=57494
time=99755, red=51240, ir=57488
time=99775, red=51250, ir=57490
time=99795, red=51265, ir=57496
time=99815, red=51257, ir=57511
time=99835, red=51267, ir=57520
time=99855, red=51265, ir=57526
time=99875, red=51275, ir=57554
time=99895, red=51278, ir=57570
time=99915, red=51295, ir=57590
time=99935, red=51291, ir=57591
time=99955, red=51299, ir=57600
time=99975, red=51277, ir=57608
time=99996, red=51293, ir=57619
time=100016, red=51299, ir=57618
time=100036, red=51303, ir=57630
time=100056, red=51286, ir=57630
time=100076, red=51285, ir=57630
HR=352, SP=-1
time=100102, red=51304, ir=57654
time=100116, red=51305, ir=57645
time=100136, red=51314, ir=57654
time=100156, red=51296, ir=57659
time=100176, red=51302, ir=57667
time=100196, red=51295, ir=57660
time=100216, red=51306, ir=57684
time=100236, red=51315, ir=57687
time=100256, red=51300, ir=57693
time=100276, red=51310, ir=57697
time=100296, red=51297, ir=57709
time=100316, red=51304, ir=57705
time=100336, red=51314, ir=57719
time=100356, red=51312, ir=57719
time=100376, red=51307, ir=57725
time=100396, red=51320, ir=57724
time=100416, red=51306, ir=57731
time=100436, red=51314, ir=57726
time=100456, red=51295, ir=57719
time=100476, red=51311, ir=57728
time=100496, red=51289, ir=57712
time=100516, red=51284, ir=57693
time=100536, red=51274, ir=57686
time=100556, red=51263, ir=57653
time=100576, red=51256, ir=57636
time=100596, red=51270, ir=57628
time=100616, red=51268, ir=57594
time=100636, red=51262, ir=57575
time=100656, red=51257, ir=57575
time=100676, red=51259, ir=57566
time=100696, red=51268, ir=57558
time=100716, red=51295, ir=57552
time=100736, red=51280, ir=57541
time=100756, red=51280, ir=57526
time=100776, red=51294, ir=57529
time=100796, red=51291, ir=57526
time=100816, red=51307, ir=57542
time=100836, red=51317, ir=57526
time=100856, red=51335, ir=57552
time=100876, red=51314, ir=57548
time=100896, red=51335, ir=57561
time=100916, red=51330, ir=57578
time=100936, red=51341, ir=57575
time=100956, red=51344, ir=57591
time=100976, red=51334, ir=57584
time=100996, red=51356, ir=57584
time=101016, red=51357, ir=57586
time=101036, red=51360, ir=57598
time=101056, red=51353, ir=57585
time=101076, red=51361, ir=57603
time=101096, red=51367, ir=57581
time=101116, red=51361, ir=57600
time=101136, red=51356, ir=57594
time=101156, red=51349, ir=57600
time=101176, red=51355, ir=57598
time=101196, red=51365, ir=57598
time=101217, red=51368, ir=57615
time=101237, red=51358, ir=57611
time=101257, red=51367, ir=57628
time=101277, red=51378, ir=57642
time=101297, red=51377, ir=57633
time=101317, red=51379, ir=57639
time=101337, red=51379, ir=57638
time=101357, red=51369, ir=57641
time=101377, red=51376, ir=57644
time=101397, red=51368, ir=57667
time=101417, red=51385, ir=57664
time=101437, red=51387, ir=57667
time=101457, red=51374, ir=57667
time=101477, red=51369, ir=57674
time=101497, red=51364, ir=57675
time=101517, red=51364, ir=57676
time=101537, red=51372, ir=57688
time=101557, red=51360, ir=57682
time=101577, red=51379, ir=57688
time=101597, red=51379, ir=57701
time=101617, red=51363, ir=57697
time=101637, red=51366, ir=57682
time=101657, red=51372, ir=57694
time=101677, red=51376, ir=57724
time=101697, red=51362, ir=57724
time=101717, red=51355, ir=57711
time=101737, red=51360, ir=57721
time=101757, red=51360, ir=57730
time=101777, red=51383, ir=57735
time=101797, red=51371, ir=57734
time=101817, red=51370, ir=57759
time=101837, red=51375, ir=57760
time=101857, red=51366, ir=57761
time=101877, red=51384, ir=57765
time=101897, red=51373, ir=57779
time=101917, red=51376, ir=57785
time=101937, red=51364, ir=57783
time=101957, red=51381, ir=57795
time=101977, red=51377, ir=57807
time=101997, red=51375, ir=57799
time=102017, red=51361, ir=57811
time=102037, red=51368, ir=57815
time=102057, red=51363, ir=57814
time=102077, red=51371, ir=57818
HR=96, SP=55
time=102097, red=51368, ir=57820
time=102117, red=51357, ir=57833
time=102137, red=51349, ir=57797
time=102157, red=51362, ir=57814
time=102177, red=51351, ir=57797
time=102197, red=51345, ir=57774
time=102217, red=51333, ir=57771
time=102237, red=51336, ir=57743
time=102257, red=51328, ir=57740
time=102277, red=51338, ir=57724
time=102297, red=51329, ir=57717
time=102317, red=51330, ir=57699
time=102337, red=51327, ir=57697
time=102357, red=51341, ir=57678
time=102377, red=51352, ir=57679
time=102397, red=51356, ir=57683
time=102417, red=51357, ir=57674
time=102437, red=51352, ir=57692
time=102457, red=51370, ir=57681
time=102478, red=51362, ir=57682
time=102498, red=51372, ir=57712
time=102518, red=51370, ir=57707
time=102538, red=51386, ir=57714
time=102558, red=51376, ir=57721
time=102578, red=51395, ir=57728
time=102598, red=51394, ir=57729
time=102618, red=51392, ir=57733
time=102638, red=51397, ir=57749
time=102658, red=51404, ir=57753
time=102678, red=51406, ir=57757
time=102698, red=51414, ir=57759
time=102718, red=51409, ir=57764
time=102738, red=51404, ir=57767
time=102758, red=51407, ir=57782
time=102778, red=51397, ir=57765
time=102798, red=51397, ir=57781
time=102818, red=51416, ir=57768
time=102838, red=51408, ir=57782
time=102858, red=51402, ir=57803
time=102878, red=51402, ir=57778
time=102898, red=51404, ir=57798
time=102918, red=51405, ir=57794
time=102938, red=51401, ir=57800
time=102958, red=51408, ir=57813
time=102978, red=51409, ir=57807
time=102998, red=51404, ir=57802
time=103018, red=51417, ir=57813
time=103038, red=51416, ir=57826
time=103058, red=51413, ir=57838
time=103078, red=51418, ir=57834
time=103098, red=51405, ir=57838
time=103118, red=51412, ir=57835
time=103138, red=51418, ir=57855
time=103158, red=51405, ir=57853
time=103178, red=51408, ir=57850
time=103198, red=51406, ir=57858
time=103218, red=51399, ir=57848
time=103238, red=51421, ir=57860
time=103258, red=51393, ir=57863
time=103278, red=51401, ir=57879
time=103298, red=51393, ir=57870
time=103318, red=51407, ir=57886
time=103338, red=51415, ir=57871
time=103358, red=51404, ir=57885
time=103378, red=51402, ir=57885
time=103398, red=51387, ir=57874
time=103418, red=51397, ir=57895
time=103438, red=51384, ir=57894
time=103458, red=51384, ir=57888
time=103478, red=51400, ir=57900
time=103498, red=51385, ir=57906
time=103518, red=51383, ir=57913
time=103538, red=51390, ir=57901
time=103558, red=51383, ir=57909
time=103578, red=51392, ir=57920
time=103598, red=51374, ir=57933
time=103618, red=51392, ir=57921
time=103638, red=51377, ir=57930
time=103658, red=51383, ir=57929
time=103678, red=51379, ir=57929
time=103698, red=51376, ir=57920
time=103718, red=51376, ir=57924
time=103738, red=51364, ir=57913
time=103759, red=51370, ir=57923
time=103779, red=51355, ir=57898
time=103799, red=51347, ir=57891
time=103819, red=51357, ir=57875
time=103839, red=51359, ir=57855
time=103859, red=51365, ir=57853
time=103879, red=51368, ir=57848
time=103899, red=51367, ir=57851
time=103919, red=51351, ir=57838
time=103939, red=51354, ir=57821
time=103959, red=51353, ir=57836
time=103979, red=51361, ir=57813
time=103999, red=51374, ir=57812
time=104019, red=51368, ir=57803
time=104039, red=51365, ir=57801
time=104059, red=51364, ir=57807
time=104079, red=51381, ir=57815
HR=103, SP=41
time=104104, red=51376, ir=57822
time=104119, red=51374, ir=57824
time=104139, red=51395, ir=57836
time=104159, red=51418, ir=57848
time=104179, red=51384, ir=57842
time=104199, red=51397, ir=57850
time=104219, red=51410, ir=57856
time=104239, red=51398, ir=57864
time=104259, red=51405, ir=57876
time=104279, red=51402, ir=57864
time=104299, red=51392, ir=57867
time=104319, red=51397, ir=57871
time=104339, red=51408, ir=57880
time=104359, red=51409, ir=57868
time=104379, red=51403, ir=57893
time=104399, red=51402, ir=57856
time=104419, red=51408, ir=57858
time=104439, red=51389, ir=57868
time=104459, red=51414, ir=57866
time=104479, red=51407, ir=57869
time=104499, red=51404, ir=57883
time=104519, red=51411, ir=57876
time=104539, red=51414, ir=57892
time=104559, red=51416, ir=57891
time=104579, red=51406, ir=57899
time=104599, red=51391, ir=57895
time=104619, red=51405, ir=57887
time=104639, red=51406, ir=57909
time=104659, red=51395, ir=57892
time=104679, red=51415, ir=57903
time=104699, red=51413, ir=57905
time=104719, red=51405, ir=57904
time=104739, red=51403, ir=57924
time=104759, red=51395, ir=57924
time=104779, red=51395, ir=57917
time=104799, red=51403, ir=57914
time=104819, red=51401, ir=57909
time=104839, red=51396, ir=57927
time=104859, red=51393, ir=57920
time=104879, red=51391, ir=57938
time=104899, red=51392, ir=57928
time=104919, red=51392, ir=57929
time=104939, red=51384, ir=57936
time=104959, red=51392, ir=57948
time=104979, red=51383, ir=57960
time=104999, red=51378, ir=57952
time=105019, red=51394, ir=57957
time=105039, red=51378, ir=57965
time=105059, red=51385, ir=57961
time=105080, red=51390, ir=57965
time=105100, red=51381, ir=57966
time=105120, red=51381, ir=57967
time=105140, red=51393, ir=57985
time=105160, red=51375, ir=57980
time=105180, red=51392, ir=57995
time=105200, red=51368, ir=57999
time=105220, red=51365, ir=57996
time=105240, red=51370, ir=57988
time=105260, red=51375, ir=57992
time=105280, red=51378, ir=57973
time=105300, red=51365, ir=57968
time=105320, red=51347, ir=57956
time=105340, red=51339, ir=57936
time=105360, red=51334, ir=57920
time=105380, red=51346, ir=57916
time=105400, red=51343, ir=57897
time=105420, red=51338, ir=57878
time=105440, red=51343, ir=57870
time=105460, red=51343, ir=57863
time=105480, red=51344, ir=57861
time=105500, red=51345, ir=57850
time=105520, red=51340, ir=57828
time=105540, red=51340, ir=57836
time=105560, red=51349, ir=57817
time=105580, red=51359, ir=57825
time=105600, red=51335, ir=57826
time=105620, red=51358, ir=57823
time=105640, red=51354, ir=57827
time=105660, red=51354, ir=57823
time=105680, red=51363, ir=57817
time=105700, red=51365, ir=57820
time=105720, red=51359, ir=57832
time=105740, red=51366, ir=57826
time=105760, red=51369, ir=57847
time=105780, red=51372, ir=57836
time=105800, red=51377, ir=57834
time=105820, red=51368, ir=57844
time=105840, red=51377, ir=57835
time=105860, red=51385, ir=57839
time=105880, red=51377, ir=57841
time=105900, red=51376, ir=57830
time=105920, red=51382, ir=57843
time=105940, red=51378, ir=57848
time=105960, red=51383, ir=57846
time=105980, red=51379, ir=57831
time=106000, red=51388, ir=57844
time=106020, red=51385, ir=57845
time=106040, red=51387, ir=57835
time=106060, red=51389, ir=57843
time=106080, red=51386, ir=57839
HR=214, SP=26
time=106100, red=51382, ir=57848
time=106120, red=51377, ir=57855
time=106140, red=51379, ir=57852
time=106160, red=51370, ir=57860
time=106180, red=51386, ir=57856
time=106200, red=51384, ir=57870
time=106220, red=51387, ir=57864
time=106240, red=51375, ir=57868
time=106260, red=51390, ir=57873
time=106280, red=51389, ir=57855
time=106300, red=51380, ir=57875
time=106320, red=51380, ir=57867
time=106340, red=51366, ir=57872
time=106360, red=51376, ir=57876
time=106380, red=51375, ir=57890
time=106400, red=51378, ir=57898
time=106421, red=51389, ir=57892
time=106441, red=51371, ir=57896
time=106461, red=51376, ir=57896
time=106481, red=51384, ir=57888
time=106501, red=51370, ir=57894
time=106521, red=51363, ir=57903
time=106541, red=51373, ir=57899
time=106561, red=51374, ir=57925
time=106581, red=51360, ir=57912
time=106601, red=51370, ir=57911
time=106621, red=51365, ir=57923
time=106641, red=51351, ir=57920
time=106661, red=51371, ir=57928
time=106681, red=51375, ir=57920
time=106701, red=51370, ir=57929
time=106721, red=51365, ir=57949
time=106741, red=51364, ir=57944
time=106761, red=51372, ir=57937
time=106781, red=51366, ir=57936
time=106801, red=51358, ir=57943
time=106821, red=51355, ir=57950
time=106841, red=51354, ir=57940
time=106861, red=51352, ir=57954
time=106881, red=51359, ir=57959
time=106901, red=51354, ir=57958
time=106921, red=51346, ir=57958
time=106941, red=51356, ir=57946
time=106961, red=51365, ir=57970
time=106981, red=51333, ir=57968
time=107001, red=51351, ir=57964
time=107021, red=51350, ir=57975
time=107041, red=51356, ir=57970
time=107061, red=51342, ir=57975
time=107081, red=51335, ir=57976
time=107101, red=51352, ir=57977
time=107121, red=51341, ir=57982
time=107141, red=51334, ir=57980
time=107161, red=51335, ir=57990
time=107181, red=51321, ir=57994
time=107201, red=51332, ir=57970
time=107221, red=51342, ir=57986
time=107241, red=51331, ir=57972
time=107261, red=51318, ir=57971
time=107281, red=51309, ir=57938
time=107301, red=51306, ir=57926
time=107321, red=51298, ir=57900
time=107341, red=51299, ir=57896
time=107361, red=51285, ir=57854
time=107381, red=51292, ir=57849
time=107401, red=51288, ir=57833
time=107421, red=51303, ir=57832
time=107441, red=51292, ir=57821
time=107461, red=51279, ir=57803
time=107481, red=51289, ir=57809
time=107501, red=51280, ir=57775
time=107521, red=51293, ir=57761
time=107541, red=51289, ir=57781
time=107561, red=51302, ir=57774
time=107581, red=51305, ir=57773
time=107601, red=51319, ir=57770
