AT4T28P1 - Pris - 5_5_411_50, tongue movement approx 45k-55k ms
time=17574, red=52189, ir=58379
time=17594, red=52184, ir=58394
time=17614, red=52197, ir=58414
time=17634, red=52187, ir=58415
time=17654, red=52184, ir=58407
time=17674, red=52179, ir=58409
time=17694, red=52191, ir=58413
time=17714, red=52163, ir=58406
time=17734, red=52185, ir=58408
time=17754, red=52180, ir=58420
time=17774, red=52181, ir=58426
time=17794, red=52183, ir=58428
time=17814, red=52185, ir=58428
time=17834, red=52173, ir=58433
time=17854, red=52172, ir=58431
time=17874, red=52173, ir=58424
time=17894, red=52165, ir=58417
time=17914, red=52151, ir=58384
time=17934, red=52123, ir=58373
time=17954, red=52135, ir=58361
time=17974, red=52130, ir=58334
time=17994, red=52120, ir=58333
HR=105, SP=2
time=18014, red=52114, ir=58302
time=18034, red=52099, ir=58271
time=18054, red=52102, ir=58284
time=18074, red=52125, ir=58274
time=18094, red=52121, ir=58251
time=18114, red=52109, ir=58261
time=18134, red=52123, ir=58243
time=18154, red=52119, ir=58220
time=18174, red=52114, ir=58211
time=18194, red=52110, ir=58218
time=18214, red=52116, ir=58200
time=18234, red=52137, ir=58211
time=18254, red=52139, ir=58221
time=18274, red=52142, ir=58216
time=18294, red=52167, ir=58221
time=18315, red=52158, ir=58217
time=18335, red=52153, ir=58233
time=18355, red=52165, ir=58235
time=18375, red=52172, ir=58254
time=18395, red=52179, ir=58261
time=18415, red=52175, ir=58247
time=18435, red=52179, ir=58259
time=18455, red=52186, ir=58274
time=18475, red=52206, ir=58262
time=18495, red=52191, ir=58276
time=18515, red=52204, ir=58270
time=18535, red=52176, ir=58287
time=18555, red=52176, ir=58277
time=18575, red=52199, ir=58267
time=18595, red=52200, ir=58280
time=18615, red=52196, ir=58268
time=18635, red=52193, ir=58267
time=18655, red=52198, ir=58286
time=18675, red=52196, ir=58280
time=18695, red=52199, ir=58277
time=18715, red=52187, ir=58277
time=18735, red=52189, ir=58272
time=18755, red=52201, ir=58275
time=18775, red=52208, ir=58293
time=18795, red=52209, ir=58308
time=18815, red=52210, ir=58310
time=18835, red=52204, ir=58300
time=18855, red=52220, ir=58313
time=18875, red=52201, ir=58318
time=18895, red=52216, ir=58311
time=18915, red=52203, ir=58324
time=18935, red=52213, ir=58337
time=18955, red=52214, ir=58324
time=18975, red=52220, ir=58343
time=18995, red=52203, ir=58337
time=19015, red=52216, ir=58322
time=19035, red=52208, ir=58333
time=19055, red=52208, ir=58345
time=19075, red=52202, ir=58366
time=19095, red=52210, ir=58366
time=19115, red=52193, ir=58340
time=19135, red=52208, ir=58341
time=19155, red=52202, ir=58347
time=19175, red=52196, ir=58354
time=19195, red=52202, ir=58360
time=19215, red=52200, ir=58365
time=19235, red=52208, ir=58392
time=19255, red=52206, ir=58403
time=19275, red=52196, ir=58385
time=19296, red=52209, ir=58398
time=19316, red=52191, ir=58388
time=19336, red=52176, ir=58393
time=19356, red=52194, ir=58412
time=19376, red=52179, ir=58412
time=19396, red=52180, ir=58409
time=19416, red=52173, ir=58399
time=19436, red=52170, ir=58424
time=19456, red=52182, ir=58422
